,Group,MemberOf,ParentFolder,Path,Version,Volume,_id
68,TRVGRP-ECHBOLCOM-2e0eb82389,TRVGRP-ECHBOL-e855b53158,/ECHANGES/BOLLOREMEDIA,/ECHANGES/BOLLOREMEDIA/COMPTABILITE-MEDIAS,2,VOLDATAG,5a685ca02525b99975920b72
69,TRVGRP-ECHDSIPRORepCHG-3465dd61ea,TRVGRP-ECHDSIPRORep-2042eac86b,/ECHANGES/DSI/PROJETS/Reprise_Power,/ECHANGES/DSI/PROJETS/Reprise_Power/CHGT_Iseries570_MMA9117_POWER8,2,VOLDATAG,5a685ca02525b99975920b7b
70,TRVGRP-ECHDSIPRORep-2042eac86b,TRVGRP-ECHDSIPRO-9f6de63474,/ECHANGES/DSI/PROJETS,/ECHANGES/DSI/PROJETS/Reprise_Power,2,VOLDATAG,5a685ca02525b99975920b7e
71,TRVGRP-ECHDSIGESdocRESSEC-cc29d154fd,TRVGRP-ECHDSIGESdocRES-96d5ec7046,/ECHANGES/DSI/GESTION DOCS PRODUCTION/documents actifs/RESEAU-SECURITE,/ECHANGES/DSI/GESTION DOCS PRODUCTION/documents actifs/RESEAU-SECURITE/SECURITE,2,VOLDATAG,5a685ca02525b99975920b89
72,TRVGRP-ECHBOLCOM-add07bed19,TRVGRP-ECHBOL-8536cd033b,/ECHANGES/BOLLOREMEDIAREGIE,/ECHANGES/BOLLOREMEDIAREGIE/COMMERCIAL,2,VOLDATAG,5a685ca02525b99975920baa
73,TRVGRP-ECHCOM136Dos-81b5f0d6df,TRVGRP-ECHCOM136-e0c94271b3,/ECHANGES/COMPTA/136 BLUECAR (ex VEPB),/ECHANGES/COMPTA/136 BLUECAR (ex VEPB)/Dossier Permanent,2,VOLDATAG,5a685ca02525b99975920bb3
74,TRVGRP-ECHCOM136-e0c94271b3,TRVGRP-ECHCOM-3bb2c1dc6a,/ECHANGES/COMPTA,/ECHANGES/COMPTA/136 BLUECAR (ex VEPB),2,VOLDATAG,5a685ca02525b99975920bb6
75,TRVGRP-ECHBFRHisBROECH-caa397eaa8,TRVGRP-ECHBFRHisBRO-470075e779,/ECHANGES/BFR/Hist-2013/BROCHURES 09-2013,/ECHANGES/BFR/Hist-2013/BROCHURES 09-2013/ECHANGES,2,VOLDATAG,5a685ca02525b99975920c21
76,TRVGRP-ECHBFRHisBRO-470075e779,TRVGRP-ECHBFRHis-59de923242,/ECHANGES/BFR/Hist-2013,/ECHANGES/BFR/Hist-2013/BROCHURES 09-2013,2,VOLDATAG,5a685ca02525b99975920c24
77,TRVGRP-ECHBFRHis-59de923242,TRVGRP-ECHBFR-9bb0ffab9f,/ECHANGES/BFR,/ECHANGES/BFR/Hist-2013,2,VOLDATAG,5a685ca02525b99975920c27
78,TRVGRP-ECHBFR-9bb0ffab9f,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/BFR,2,VOLDATAG,5a685ca02525b99975920c2a
79,TRVGRP-ECHBFRHisECH-c6c6492b57,TRVGRP-ECHBFRHis-59de923242,/ECHANGES/BFR/Hist-2013,/ECHANGES/BFR/Hist-2013/ECHANGES,2,VOLDATAG,5a685ca02525b99975920c31
80,TRVGRP-ECHDSIPROTW-3b7d37c6cc,TRVGRP-ECHDSIPRO-9f6de63474,/ECHANGES/DSI/PROJETS,/ECHANGES/DSI/PROJETS/TW,2,VOLDATAG,5a685ca02525b99975920c3c
81,TRVGRP-ECHJURBIBSOCGroCSTCor201SanECH-2594a8ece8,TRVGRP-ECHJURBIBSOCGroCSTCor201San-c912401e1b,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO/Corporate/2014/Sans Objet HorsApprobComptes,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO/Corporate/2014/Sans Objet HorsApprobComptes/ECHANGES,2,VOLDATAG,5a685ca02525b99975920c47
82,TRVGRP-ECHJURBIBSOCGroCSTCor201San-c912401e1b,TRVGRP-ECHJURBIBSOCGroCSTCor201-4f8feeebc6,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO/Corporate/2014,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO/Corporate/2014/Sans Objet HorsApprobComptes,2,VOLDATAG,5a685ca02525b99975920c4a
83,TRVGRP-ECHJURBIBSOCGroCSTCor201-4f8feeebc6,TRVGRP-ECHJURBIBSOCGroCSTCor-1b5ad50b0c,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO/Corporate,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO/Corporate/2014,2,VOLDATAG,5a685ca02525b99975920c4d
84,TRVGRP-ECHJURBIBSOCGroCSTCor-1b5ad50b0c,TRVGRP-ECHJURBIBSOCGroCST-92ec2d715f,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO/Corporate,2,VOLDATAG,5a685ca02525b99975920c50
85,TRVGRP-ECHJURBIBSOCGroCST-92ec2d715f,TRVGRP-ECHJURBIBSOCGro-a42e8cd656,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO,2,VOLDATAG,5a685ca02525b99975920c53
86,TRVGRP-ECHJURBIBSOCGro-a42e8cd656,TRVGRP-ECHJURBIBSOC-0f40ea3898,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA,2,VOLDATAG,5a685ca02525b99975920c56
87,TRVGRP-ECHJURBIBSOCGroCSTCor201SanECHJUR-be4c8e064f,TRVGRP-ECHJURBIBSOCGroCSTCor201SanECH-2594a8ece8,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO/Corporate/2014/Sans Objet HorsApprobComptes/ECHANGES,/ECHANGES/JUR_FIS_IND/BIBLIO.JUR/SOCIETES/Groupe CSA/CSTO/Corporate/2014/Sans Objet HorsApprobComptes/ECHANGES/JUR_FIS_IND,2,VOLDATAG,5a685ca02525b99975920c63
88,TRVGRP-ECHDSIPROTRE-b5330be593,TRVGRP-ECHDSIPRO-9f6de63474,/ECHANGES/DSI/PROJETS,/ECHANGES/DSI/PROJETS/TRESORERIE_PRA,2,VOLDATAG,5a685ca02525b99975920c7c
89,TRVGRP-ECHJURFISANCSopCETCETRESECH-5a78cb207d,TRVGRP-ECHJURFISANCSopCETCETRES-f2f0b80614,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION_07-08-2014,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION_07-08-2014/ECHANGES,2,VOLDATAG,5a685ca02525b99975920cbd
90,TRVGRP-ECHJURFISANCSopCETCETRES-f2f0b80614,TRVGRP-ECHJURFISANCSopCETCET-6b3d77d927,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION_07-08-2014,2,VOLDATAG,5a685ca02525b99975920cc0
91,TRVGRP-ECHJURFISANCSopCETCET-6b3d77d927,TRVGRP-ECHJURFISANCSopCET-55c23a036e,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013,2,VOLDATAG,5a685ca02525b99975920cc3
92,TRVGRP-ECHJURFISANCSopCET-55c23a036e,TRVGRP-ECHJURFISANCSop-2a304c221b,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET,2,VOLDATAG,5a685ca02525b99975920cc6
93,TRVGRP-ECHJURFISANCSop-2a304c221b,TRVGRP-ECHJURFISANC-72f95cdde8,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY,2,VOLDATAG,5a685ca02525b99975920cc9
94,TRVGRP-ECHJURFISANC-72f95cdde8,TRVGRP-ECHJURFIS-1923d3108a,/ECHANGES/JUR_FIS_IND/FISCAL,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA,2,VOLDATAG,5a685ca02525b99975920ccc
95,TRVGRP-ECHJURFISANCSopCETCETRESECHJUR-d4e43c816b,TRVGRP-ECHJURFISANCSopCETCETRESECH-5a78cb207d,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION_07-08-2014/ECHANGES,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION_07-08-2014/ECHANGES/JUR_FIS_IND,2,VOLDATAG,5a685ca02525b99975920cd7
96,TRVGRP-ECHJURFISANCSopCETCETRESECH-2402687a9a,TRVGRP-ECHJURFISANCSopCETCETRES-99fef186e5,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION-12-08-2014,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION-12-08-2014/ECHANGES,2,VOLDATAG,5a685ca02525b99975920cee
97,TRVGRP-ECHJURFISANCSopCETCETRES-99fef186e5,TRVGRP-ECHJURFISANCSopCETCET-6b3d77d927,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION-12-08-2014,2,VOLDATAG,5a685ca02525b99975920cf1
98,TRVGRP-ECHJURFISANCSopCETCETRESECHJUR-408964e1c4,TRVGRP-ECHJURFISANCSopCETCETRESECH-2402687a9a,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION-12-08-2014/ECHANGES,/ECHANGES/JUR_FIS_IND/FISCAL/ANCIENS COLLABORATEURS FISCA/Sophie ELOY/CET/CET 2013/RESTAURATION-12-08-2014/ECHANGES/JUR_FIS_IND,2,VOLDATAG,5a685ca02525b99975920d04
