,_id,dn,groupid,member,uid
2156,5a58d82d8a714b91a7713732,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=EDEE,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",EDEE
2157,5a58d82d8a714b91a7713735,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STBMR09,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",STBMR09
2158,5a58d82d8a714b91a7713738,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STBMR12,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",STBMR12
2159,5a58d82d8a714b91a771373b,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=TBAN,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",TBAN
2160,5a58d82d8a714b91a771373e,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STBMR13,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",STBMR13
2161,5a58d82d8a714b91a7713741,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=MSRN,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",MSRN
2162,5a58d82d8a714b91a7713744,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=APPLE3,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",APPLE3
2163,5a58d82d8a714b91a7713747,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STMAT02,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",STMAT02
2164,5a58d82d8a714b91a771374a,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=SMSN,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",SMSN
2165,5a58d82d8a714b91a771374d,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=CVRE,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",CVRE
2166,5a58d82d8a714b91a7713750,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=ScePhoto,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",ScePhoto
2167,5a58d82d8a714b91a7713753,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=LSNT,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",LSNT
2168,5a58d82d8a714b91a7713756,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=SDEE,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",SDEE
