chemin,ayant-droits,droits
"/DEI/01_Direction/08_Communication (Ppt, Evènementiels)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/01_Direction/09_Réglementations (Lois, règlements, process)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/01_Direction/02_CODIR (réservé CODIR),.CN=GUP-DEI-CODIR.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/02_Ingénierie-Financière-FEDER/01_Management,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/02_Ingénierie-Financière-FEDER/02_Fonctionnement-service-(Modèles, Réunions de service)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/02_Ingénierie-Financière-FEDER/03_Production-service-(Instruction, Gestion)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/02_Ingénierie-Financière-FEDER/04_Projets-service,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/02_Ingénierie-Financière-FEDER/05_Partenariats,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/02_Ingénierie-Financière-FEDER/06_Organismes financiers,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/02_Ingénierie-Financière-FEDER/07_Transversal,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/03_EIE/05_Actions transverses,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/03_EIE/02_Fonctionnement-service-(dispositifs, Modèles, Réunions de service)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/03_EIE/03_Production-service-(Instruction, Gestion)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/03_EIE/04_Projets-service,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/03_EIE/01_Management,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/04_IET/XX_ autres-thèmes-spécifiques-service,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/04_IET/01_Management,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/04_IET/02_Fonctionnement-service-(Modèles, Réunions de service)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/04_IET/03_Production-service-(Instruction, Gestion)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/04_IET/04_Projets-service-(A décliner),.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/05_Entrepreneuriat/06_ autres-thèmes-autres services,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/05_Entrepreneuriat/01_Management,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/05_Entrepreneuriat/02_Fonctionnement-service-(Modèles, Notes, Réunions de service, Courriers, Fournitures)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/05_Entrepreneuriat/03_Production-service-(Instruction, Gestion)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/05_Entrepreneuriat/04_ Projets service (à décliner),.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/05_Entrepreneuriat/05_ RH (Congés, Fiche de poste, Organigramme)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/06_ESS/XX_ autres-thèmes-spécifiques-service,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/06_ESS/01_Management,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/06_ESS/02_Fonctionnement-service-(Modeles, Reunions-Sce)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/06_ESS/03_Production-service-(Instruction, Gestion)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/06_ESS/04_Projets-service-(A décliner),.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
