,MemberOf,SAMAccountName,Volume,_id
134,TRVGRP-ECHJURBIBSOC-0f40ea3898,MEDIA-CSA,VOLDATAG,5a099c216be3647bbe18b52f
135,TRVGRP-ECHNET-3f3cfc2e87,FLDN,VOLDATAG,5a099c216be3647bbe18b53b
136,TRVGRP-ECHBOLDSI-b5b9877340,MED-ATOS,VOLDATAG,5a099c216be3647bbe18b548
137,TRVGRP-ECHBOLDRH$A1ECH-480f512003,1-BM-DRH,VOLDATAG,5a099c216be3647bbe18b54b
138,TRVGRP-ECHCOM-3bb2c1dc6a,HOL-Save-Abel ,VOLDATAG,5a099c216be3647bbe18b550
139,TRVGRP-ECHCOM-3bb2c1dc6a,COMPTA_136,VOLDATAG,5a099c216be3647bbe18b553
140,TRVGRP-ECHCOM-3bb2c1dc6a,COMPTA_000-PARTAGE,VOLDATAG,5a099c216be3647bbe18b556
141,TRVGRP-ECHDSIATO-48dbc63eca,ATOS-PTX,VOLDATAG,5a099c216be3647bbe18b559
142,TRVGRP-ECHBOLCOM-add07bed19,EDDE,VOLDATAG,5a099c216be3647bbe18b566
143,TRVGRP-ECHBOLCAN-3137e21fcc,BGDN,VOLDATAG,5a099c216be3647bbe18b56b
144,TRVGRP-ECHBOLCAN-3137e21fcc,FBTU,VOLDATAG,5a099c216be3647bbe18b56e
145,TRVGRP-ECHBOLCAN-3137e21fcc,JGAT,VOLDATAG,5a099c216be3647bbe18b571
146,TRVGRP-ECHBOLCAN-3137e21fcc,STAG2BM,VOLDATAG,5a099c216be3647bbe18b574
147,TRVGRP-ECHBOLCAN-3137e21fcc,CHANTIER16,VOLDATAG,5a099c216be3647bbe18b577
148,TRVGRP-ECHBOLCAN-3137e21fcc,CHANTIER8,VOLDATAG,5a099c216be3647bbe18b57a
149,TRVGRP-ECHJURBIBSOCGroCSTCor201SanECH-2594a8ece8,JUR_FIS_IND,VOLDATAG,5a099c216be3647bbe18b58a
150,TRVGRP-ECHDSIPRO-9f6de63474,DSI-MIGISERIES,VOLDATAG,5a099c216be3647bbe18b591
151,TRVGRP-ECHDSIPRO-9f6de63474,MIGISERIES,VOLDATAG,5a099c216be3647bbe18b594
152,TRVGRP-ECHDSIPRO-9f6de63474,SAEE,VOLDATAG,5a099c216be3647bbe18b597
153,TRVGRP-ECHDSIPRO-9f6de63474,CDTE,VOLDATAG,5a099c216be3647bbe18b59a
154,TRVGRP-ECHDSIPRO-9f6de63474,LHJH,VOLDATAG,5a099c216be3647bbe18b59d
155,TRVGRP-ECHCOM-3bb2c1dc6a,COMPTA-CRISTA,VOLDATAG,5a099c216be3647bbe18b5a0
156,TRVGRP-ECHJURFISSOPCETCETRESECH-7d851d98d9,JUR_FIS_IND,VOLDATAG,5a099c216be3647bbe18b5a3
157,TRVGRP-ECHJURFISSOPCETCETRESECH-adfedfff2f,JUR_FIS_IND,VOLDATAG,5a099c216be3647bbe18b5a7
158,TRVGRP-ECHVE-325d8d03e1,VE-SURETE,VOLDATAG,5a099c216be3647bbe18b5ab
159,TRVGRP-ECHVEDir-1f36beae30,VE-DirSur-NIGER,VOLDATAG,5a099c216be3647bbe18b5ae
160,TRVGRP-ECHBOL-e855b53158,1-BM-JURIDIQUE,VOLDATAG,5a099c216be3647bbe18b5ba
161,TRVGRP-ECHBOL-e855b53158,1-BM-COMPTABILTE,VOLDATAG,5a099c216be3647bbe18b5bd
162,TRVGRP-ECHBOL-e855b53158,GALT,VOLDATAG,5a099c216be3647bbe18b5c0
163,TRVGRP-ECHBOL-e855b53158,1-BM-ETUDES,VOLDATAG,5a099c216be3647bbe18b5c3
164,TRVGRP-ECHBOL-e855b53158,L_BOL_PTX_FILR_ETUDES-MEDIAS,VOLDATAG,5a099c216be3647bbe18b5c6
165,TRVGRP-ECHBOL-e855b53158,1-BM-CONTROLE-DE-GESTION,VOLDATAG,5a099c216be3647bbe18b5c9
166,TRVGRP-ECHBOL-e855b53158,L_BOL_PTX_FILR_BOLLOREMEDIA_CDGM,VOLDATAG,5a099c216be3647bbe18b5cc
167,TRVGRP-ECHBOL-e855b53158,JPGY,VOLDATAG,5a099c216be3647bbe18b5d1
168,TRVGRP-ECHBOL-e855b53158,1-BM-SHARED_DAF_BMR,VOLDATAG,5a099c216be3647bbe18b5d4
169,TRVGRP-ECHBOL-e855b53158,CRJO,VOLDATAG,5a099c216be3647bbe18b5d9
170,TRVGRP-ECHEli-efe1b0f117,ELITES_ANGE_MANCINI,VOLDATAG,5a099c216be3647bbe18b5e1
171,TRVGRP-ECHIRI-8195a54b5d,IRIS-CLUB-FACTURATION,VOLDATAG,5a099c216be3647bbe18b5ee
172,TRVGRP-ECHBOL-8536cd033b,BOLLOREMEDIAREGIE-SERVICE-RP,VOLDATAG,5a099c216be3647bbe18b5fb
173,TRVGRP-ECHBOL-8536cd033b,BOLLOREMEDIAREGIE,VOLDATAG,5a099c216be3647bbe18b5fe
174,TRVGRP-ECHBOL-8536cd033b,BOLLOREMEDIAREGIE_PARTENARIATS,VOLDATAG,5a099c216be3647bbe18b601
175,TRVGRP-ECHBOL-8536cd033b,ECHANGE-MEDIA,VOLDATAG,5a099c216be3647bbe18b604
176,TRVGRP-ECHCOM-216c0601e5,COMPTA_000-PARTAGE,VOLDATAG,5a099c216be3647bbe18b60c
177,TRVGRP-ECHCOM-216c0601e5,COMPTA_CE_077,VOLDATAG,5a099c216be3647bbe18b60f
178,TRVGRP-ECHCOM-216c0601e5,COMPTA_136,VOLDATAG,5a099c216be3647bbe18b612
179,TRVGRP-ECHCOM-216c0601e5,COMPTA_155,VOLDATAG,5a099c216be3647bbe18b615
180,TRVGRP-ECHCOM-216c0601e5,COMPTA_USERS,VOLDATAG,5a099c216be3647bbe18b618
181,TRVGRP-ECHCOM-216c0601e5,COMPTA_USERS_ADMIN,VOLDATAG,5a099c216be3647bbe18b61b
182,TRVGRP-ECHCOM-216c0601e5,COMPTA_156,VOLDATAG,5a099c216be3647bbe18b61e
183,TRVGRP-ECHCOM-216c0601e5,CRISTAL_PROJET_COMPTABLE,VOLDATAG,5a099c216be3647bbe18b62b
184,TRVGRP-ECHCOM-216c0601e5,HOL-Save-Abel ,VOLDATAG,5a099c216be3647bbe18b62e
185,TRVGRP-ECHCOMCRI-c1cb44d0ba,CMTN,VOLDATAG,5a099c216be3647bbe18b634
186,TRVGRP-ECHIRI-4234641c65,IRIS-CLUB-FACTURATION,VOLDATAG,5a099c216be3647bbe18b64f
187,TRVGRP-ECHCGE-b13a3ae083,TRVGRP-ECHCGE04_-d5a979f770,VOLDATAG,5a099c216be3647bbe18b66b
188,TRVGRP-ECH-1a3fc42d5a,TRVGRP-ECHCGE-b13a3ae083,VOLDATAG,5a099c216be3647bbe18b66f
189,TRVGRP-ECHCOM-3bb2c1dc6a,TRVGRP-ECHCOMCRI-0f67bbed22,VOLDATAG,5a099c216be3647bbe18b673
190,TRVGRP-ECH-1a3fc42d5a,TRVGRP-ECHCOM-3bb2c1dc6a,VOLDATAG,5a099c216be3647bbe18b677
191,TRVGRP-ECH-1a3fc42d5a,TRVGRP-ECHDIS-96f97504cb,VOLDATAG,5a099c216be3647bbe18b67b
192,TRVGRP-ECHDRHSer03_HR -84ef13145d,TRVGRP-ECHDRHSer03_HR Doc-2a6d9f5292,VOLDATAG,5a099c216be3647bbe18b67f
193,TRVGRP-ECHDRHSer03_-3c7291fee2,TRVGRP-ECHDRHSer03_HR -84ef13145d,VOLDATAG,5a099c216be3647bbe18b683
194,TRVGRP-ECHDRHSer-ee20ec1e33,TRVGRP-ECHDRHSer03_-3c7291fee2,VOLDATAG,5a099c216be3647bbe18b687
195,TRVGRP-ECHDRH-c69fcf1690,TRVGRP-ECHDRHSer-ee20ec1e33,VOLDATAG,5a099c216be3647bbe18b68b
196,TRVGRP-ECH-1a3fc42d5a,TRVGRP-ECHDRH-c69fcf1690,VOLDATAG,5a099c216be3647bbe18b68f
197,TRVGRP-ECHDRHSer-ee20ec1e33,TRVGRP-ECHDRHSer01_-7b5eb63b93,VOLDATAG,5a099c216be3647bbe18b693
198,TRVGRP-ECHDRH-c69fcf1690,TRVGRP-ECHDRHSer-985d7e9997,VOLDATAG,5a099c216be3647bbe18b697
199,TRVGRP-ECH-1a3fc42d5a,TRVGRP-ECHDSI-3bc46574ae,VOLDATAG,5a099c216be3647bbe18b69b
200,TRVGRP-ECHDSI-3bc46574ae,TRVGRP-ECHDSIApp-4f3974a390,VOLDATAG,5a099c216be3647bbe18b69f
201,TRVGRP-ECHDSI-3bc46574ae,TRVGRP-ECHDSIGES-873611f5bd,VOLDATAG,5a099c216be3647bbe18b6a3
202,TRVGRP-ECHDSIApp-17b8ee55c6,TRVGRP-ECHDSIAppRég-de40891be8,VOLDATAG,5a099c216be3647bbe18b6a7
203,TRVGRP-ECHDSI-3bc46574ae,TRVGRP-ECHDSIApp-17b8ee55c6,VOLDATAG,5a099c216be3647bbe18b6ab
204,TRVGRP-ECHJUR-5cadf3508f,TRVGRP-ECHJURBIB-ee4315ec1c,VOLDATAG,5a099c216be3647bbe18b6af
205,TRVGRP-ECH-1a3fc42d5a,TRVGRP-ECHJUR-5cadf3508f,VOLDATAG,5a099c216be3647bbe18b6b3
206,TRVGRP-ECHJURBIBSOC-0f40ea3898,TRVGRP-ECHJURBIBSOCBlu-09187800c2,VOLDATAG,5a099c216be3647bbe18b6b7
207,TRVGRP-ECHJURBIB-ee4315ec1c,TRVGRP-ECHJURBIBSOC-0f40ea3898,VOLDATAG,5a099c216be3647bbe18b6bb
208,TRVGRP-ECHJUR-5cadf3508f,TRVGRP-ECHJURFIS-1923d3108a,VOLDATAG,5a099c216be3647bbe18b6bf
209,TRVGRP-ECHBOL-e855b53158,TRVGRP-ECHBOLCAN-3137e21fcc,VOLDATAG,5a099c216be3647bbe18b6c3
210,TRVGRP-ECH-1a3fc42d5a,TRVGRP-ECHBOL-e855b53158,VOLDATAG,5a099c216be3647bbe18b6c7
211,TRVGRP-ECHBOL-e855b53158,TRVGRP-ECHBOLDSI-b5b9877340,VOLDATAG,5a099c216be3647bbe18b6cb
212,TRVGRP-ECHBOLDRH-44cbf20a67,TRVGRP-ECHBOLDRH$A1-2d006bea3d,VOLDATAG,5a099c216be3647bbe18b6cf
213,TRVGRP-ECHBOL-e855b53158,TRVGRP-ECHBOLDRH-44cbf20a67,VOLDATAG,5a099c216be3647bbe18b6d3
