GroupeAD,samAccountName,nombre de membres
partagepolemedicotechnique,partagepolemedicotechnique,9
Partagecadrespsy,Partagecadrespsy,3
PartageFacturation - Unité de Bilan,PartageFacturation - Unité de Bilan,5
Partage_Comite_Ethique_Hospitalier,Partage_Comite_Ethique_Hospitalier,6
Partage_DRH-CGDS,Partage_DRH-CGDS,10
Partage_Thomas,Partage_Thomas,61
P0700,P0700,0
GRP_s0272_ARCHIVES_RO,GRP_s0272_ARCHIVES_RO,6
GRP_s0272_ARCHIVES_RW,GRP_s0272_ARCHIVES_RW,2
GRP_Database_Invivo,GRP_Database_Invivo,2
Partage_Acculink,Partage_Acculink,3
Partage_DoseWare,Partage_DoseWare,4
Partage_AES,Partage_AES,11
Partage_Dossier_Obstetrique,Partage_Dossier_Obstetrique,3
Partage_DRH_NouvelEspaceStatutaire,Partage_DRH_NouvelEspaceStatutaire,6
Partage_MAN,Partage_MAN,28
Partage_NRCF,Partage_NRCF,20
Partage0770-0430,Partage0770-0430,14
PartageARUA,PartageARUA,9
PartageCadreNuit,PartageCadreNuit,3
PartageCadresBlocs,PartageCadresBlocs,8
PartageCadresMissionTranversale,PartageCadresMissionTranversale,9
PartageCadresMPPME,PartageCadresMPPME,4
PartageCoordinationTravaux,PartageCoordinationTravaux,4
PartageCS700_S0082_S0094,PartageCS700_S0082_S0094,4
PartageFGSU,PartageFGSU,4
PartagePASSI,PartagePASSI,8
PartagePlanBlancConfidentiel,PartagePlanBlancConfidentiel,5
PartageProjet_DPA_GAM,PartageProjet_DPA_GAM,8
PartageProjetRSSI,PartageProjetRSSI,5
