user,uid,path,trustee,appliesto
.CN=LucchesiA.OU=HDV.O=ANNECY.T=MRY.,LucchesiA,\voirie\Lucchesi,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=LucchesiA.OU=HDV.O=ANNECY.T=MRY.,LucchesiA,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-VoireDomPublic.OU=HDV.O=ANNECY.T=MRY.,GG_1-VoireDomPublic,\voirie\Gestion domaine public,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-VoireDomPublic.OU=HDV.O=ANNECY.T=MRY.,GG_1-VoireDomPublic,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie\Delannay,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PetrierJ.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,PetrierJ,\voirie\Pétrier,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=PetrierJ.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,PetrierJ,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PerrotM.OU=HDV.O=ANNECY.T=MRY.,PerrotM,\voirie\Perrot,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=PerrotM.OU=HDV.O=ANNECY.T=MRY.,PerrotM,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PoleEnergie.OU=HDV.O=ANNECY.T=MRY.,GG_PoleEnergie,\batiment\Pôle énergie\SCHEMAS ELECTRIQUES DES BÂTIMENTS & DOE Courants Faibles,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Modify,ListDirectory,ReadPermissions,ChangePermissions",ThisFolderSubFoldersAndFiles
.CN=PoleEnergie.OU=HDV.O=ANNECY.T=MRY.,GG_PoleEnergie,\batiment\Pôle énergie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PoleEnergie.OU=HDV.O=ANNECY.T=MRY.,GG_PoleEnergie,\batiment,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction\Ducloz\Bouvier\Secours,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction\Ducloz\Bouvier,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction\Ducloz,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Everybody.O=ANNECY.T=MRY.,GG_Everybody,\DUER,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=ChautainC.OU=HDV.O=ANNECY.T=MRY.,ChautainC,\INFO\Clement,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=ChautainC.OU=HDV.O=ANNECY.T=MRY.,ChautainC,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PortesR.OU=Smartphones.O=ANNECY.T=MRY.,PortesR,\INFO\Raphael,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
